year_month,month_id,transport_mode,actual_demand,baseline_prediction,linear_regression_prediction,random_forest_prediction,rf_error,rf_abs_error,rf_abs_percentage_error,year,month,month_name,forecast_error_category
2025-03-01,2025-03,metro,6290733.31,5715461.7,7452126.399668932,7482452.91186667,-1191719.60186667,1191719.60186667,18.94404901845489,2025,3,March,Medium Forecast Error
2025-04-01,2025-04,metro,5904251.07,6290733.31,7523672.799219728,7553879.091733336,-1649628.0217333362,1649628.0217333362,27.93966588099947,2025,4,April,High Forecast Error
2025-05-01,2025-05,metro,6324356.62,5904251.07,7045528.900195599,7518873.229633336,-1194516.6096333358,1194516.6096333358,18.88755934249223,2025,5,May,Medium Forecast Error
2025-06-01,2025-06,metro,6194726.930000001,6324356.62,6775198.520113826,5275201.314900004,919525.6150999964,919525.6150999964,14.843682788451762,2025,6,June,Medium Forecast Error
2025-07-01,2025-07,metro,6123208.77,6194726.930000001,6307938.936813712,5191348.563333341,931860.2066666586,931860.2066666586,15.218494774050612,2025,7,July,Medium Forecast Error
2025-08-01,2025-08,metro,6151030.6,6123208.77,6608228.512502193,7508262.905400004,-1357232.3054000046,1357232.3054000046,22.065120362106548,2025,8,August,High Forecast Error
2025-01-01,2025-01,train,19944875.61,22048235.73,21766879.43257618,24589060.20482013,-4644184.594820131,4644184.594820131,23.285101825812443,2025,1,January,High Forecast Error
2025-02-01,2025-02,train,22191955.130000003,19944875.61,20858131.449443106,22886732.488280088,-694777.358280085,694777.358280085,3.130762270426801,2025,2,February,Low Forecast Error
2025-03-01,2025-03,train,25784475.34,22191955.130000003,23884838.10375166,24528510.458582047,1255964.8814179525,1255964.8814179525,4.87101197467279,2025,3,March,Low Forecast Error
2025-04-01,2025-04,train,23173176.0,25784475.34,26341221.910993814,23377397.800102115,-204221.80010211468,204221.80010211468,0.8812853279244705,2025,4,April,Low Forecast Error
2025-05-01,2025-05,train,24026648.87,23173176.0,23588745.47488904,25475804.56241021,-1449155.6924102046,1449155.6924102046,6.031451578000293,2025,5,May,Low Forecast Error
2025-06-01,2025-06,train,23472766.87,24026648.87,23640114.976519108,25259785.22170634,-1787018.3517063372,1787018.3517063372,7.613155967523726,2025,6,June,Low Forecast Error
2025-07-01,2025-07,train,23033377.97,23472766.87,22942690.296493888,25686235.693873316,-2652857.7238733172,2652857.7238733172,11.51744970854276,2025,7,July,Medium Forecast Error
2025-08-01,2025-08,train,23973911.91,23033377.97,23032045.279395934,25732159.908478875,-1758247.9984788746,1758247.9984788746,7.334005418387618,2025,8,August,Low Forecast Error
2025-05-01,2025-05,unallocated,630.0,49.0,1284468.5819907188,288900.5014555815,-288270.5014555815,288270.5014555815,,2025,5,May,Unknown
